,G_symbol,head1,head2,head3,head4,head5,head6,head7,head8,abs_mean
119,AFP,-0.0005495735434169818,-0.0013451376398402087,-0.000373317321994176,0.008016164403443963,-0.000682408304415742,-0.001017090180535348,-0.0019123804224651106,0.008349265682269586,0.0027806671872976398
120,TCF7,-6.123657070599622e-05,-0.0007606726911623397,0.0013411857726444085,0.0007307567456906845,-0.0005874088221371994,-0.004751916496079924,-0.0006902063583841991,0.0016016526111663238,0.0013156295084963843
121,PTPRC,0.0001890132659770093,-0.0069317319036518495,-0.0008334937845662517,-0.0006450447251954685,0.000559060572169116,0.0024576689870175576,-0.0008611167165898881,0.0005510355049620612,0.0016285206825161504
122,PGR,-0.0008209674095926264,0.0028818088720857075,-0.0006743819452741763,-0.008022484040143158,0.0007926756621970083,-0.004419660533965724,-9.61558296784984e-05,0.007056935510828288,0.0030956337254706484
123,GSK3B,0.0010044199476294223,-0.0008724833004061111,-0.00013800484241152663,-0.006506595164673791,0.0005706878872314276,0.0004286506902745109,4.811004404664118e-05,-0.0037451797346854114,0.0016642664514198552
124,XPO1,-0.0011911002438306038,-0.010469389296727775,-0.0019932719835738326,-0.00900514366276556,-0.0007650458684466433,-0.0009475361437645571,-0.0013803772675812767,0.008794337497321402,0.004318275245501456
125,PALB2,-9.702161486564873e-05,0.01323588709918652,-0.0020449878476489834,0.009510996811621207,-0.0019640530177135102,0.002620912558637538,0.002446835605139596,-0.001762821422587232,0.00421043949717503
126,CHMP2B,0.0011974886262083617,0.0018141497375441518,0.0008354386190646284,0.006495675862508505,-0.0014278978068006333,-0.002516072085984639,0.00032425156169902053,-0.006136160373298351,0.0025933918341385365
127,GSTP1,-0.00015808251341332749,-0.008316201722979815,0.0006145595051071723,-0.003610213732183026,-0.002589858984886626,-0.004005951771990258,0.0021193142526987063,0.0064839437183891666,0.0034872657752060125
128,CD59,-0.00043925524313523335,8.247919038629014e-05,0.0002894237501784345,0.0005872001114258479,-0.0011205648424365427,-0.002588663837786712,0.0001580354955247884,0.0017966402268066142,0.0008827828372100579
129,CD82,1.965037830774909e-05,0.007798098101542544,-0.0013538624480850631,0.010063909843586728,-0.00045149312007707683,0.0024979367662836967,0.001069262623196531,-0.002567151089808526,0.0032276705463609888
130,MECOM,0.0002658184782491576,0.0010016340018054392,8.953473015917871e-05,-0.002868697487382035,0.00027439116462330335,0.0024462451118716015,-5.0461564676102816e-05,-0.0035883314368442493,0.0013231392469513835
131,ABCB1,-0.000686244908016297,0.002627281218494516,0.0003890646083884355,0.002985029306700373,0.0007283977058049394,-0.00045046046963233727,-0.0006509422105103562,-0.0010851924910155392,0.0012003266148203492
132,ATG16L1,-0.002309396345338015,0.03162665834546989,-0.007069719588607388,0.016038377646064268,0.0012943249751653375,0.004598762602593942,-0.0024285721415585985,-0.012543072776981372,0.00973861055272235
133,NFX1,0.0003710909883952798,-0.013567749946399912,-0.004948225904751435,-0.012199662091871153,0.00014795924707614708,-0.0034445929730834825,-0.0013227670853444811,0.006033234579075448,0.0052544103519996666
134,CEACAM6,-0.0006915460878926685,-0.012729128121356492,-0.0023642204528323794,-0.006421528225382524,-0.0005982084141015453,0.0017137908230080137,-0.0012937751135305195,0.011318754725091897,0.004641368995399505
135,HUWE1,0.00013412581072982,-0.007985392577766365,0.0017813104214074128,-0.0049407802333909425,0.00024405104095808416,-0.002600604489948858,-0.003440793996894102,-0.0021841153308713207,0.002913896737745863
136,BAX,-2.4901819514098812e-05,0.0004279901783581197,-0.0017626832198047164,-0.0018097534288671893,0.0007371955078128068,0.0056607676245338644,1.5948787604428227e-05,-0.007374350539034869,0.0022266988881912615
137,MMP2,0.0005259583525553454,-0.0014443785663290386,0.0008535419226356597,-0.0036405359816488445,0.0009371364666872181,0.0008692944529173276,0.0004466176254572841,-0.005478481327473897,0.0017744930869630767
